time (hours),Bz,B magnitude,Solar Wind Speed (km/s),proton density
7.866667,-0.188250,2.829250,438.975611,3.258944
7.883333,-0.146750,2.805563,441.981238,3.222006
7.900000,-0.220437,2.879188,438.854056,3.182306
7.916667,-0.099187,2.872500,437.475930,3.062494
7.933333,-0.156938,3.064063,438.816554,3.254884
7.950000,0.221000,3.018063,439.635007,3.195255
7.966667,0.181937,3.202812,436.494367,3.106427
7.983333,0.331625,3.266937,435.004995,3.016916
8.000000,0.448875,3.252375,435.298442,3.040466
8.016667,0.584625,3.252000,434.890161,3.075777
8.033333,0.569563,3.392250,433.816720,3.089792
8.050000,0.497437,3.486375,432.942498,3.001409
8.066667,0.637937,3.442250,432.629066,2.963134
8.083333,0.665750,3.254375,433.152817,2.978231
8.100000,0.957437,3.316875,433.945932,2.849494
8.116667,0.902500,3.336000,434.505004,2.910544
8.133333,1.029000,3.328812,436.876878,2.819481
8.150000,1.249500,3.176250,438.155618,2.973934
8.166667,0.976063,3.290437,437.618130,2.833141
8.183333,1.049500,3.260250,437.261875,2.804359
8.200000,0.811625,2.970625,439.995936,2.893209
8.216667,0.265375,2.904750,439.377180,3.080363
8.233333,0.000062,2.896750,438.788134,3.150488
8.250000,0.129000,2.864813,438.526255,3.281650
8.266667,0.202000,2.893875,437.439684,3.250019
8.283333,0.053250,3.081500,438.224063,3.279178
8.300000,0.080500,2.931125,439.007812,3.272788
8.316667,-0.042438,3.088063,439.439054,3.359225
8.333333,-0.642125,3.088062,441.833431,3.486775
8.350000,-0.622625,3.048438,442.484064,3.420981
8.366667,-0.418750,3.167188,438.750000,3.323913
8.383333,-0.291063,3.177313,438.599062,3.263441
8.400000,-0.364938,3.161875,438.022499,3.378503
8.416667,-0.184438,3.025000,437.910945,3.156925
8.433333,-0.251438,3.071000,438.764696,3.397934
8.450000,-0.249437,3.119437,438.005323,3.167966
8.466667,-0.253562,3.084375,439.919372,3.073753
8.483333,-0.176250,3.108375,438.246869,3.290081
8.500000,-0.085375,3.143688,437.782811,3.350784
8.516667,-0.152813,3.099375,437.663754,3.250156
8.533333,-0.193437,3.062438,439.520008,3.245942
8.550000,-0.212437,2.985000,438.621871,3.299145
8.566667,-0.247250,3.039687,437.353900,3.285916
8.583333,-0.275063,3.185375,437.396100,3.221884
8.600000,-0.126000,3.148375,437.229075,3.170386
8.616667,-0.067000,3.118313,437.290321,3.135277
8.633333,-0.321937,3.164375,437.771251,3.177637
8.650000,-0.542187,3.283750,437.504059,3.398575
8.666667,-0.278375,3.228687,437.652498,3.508731
8.683333,-0.387062,3.300188,435.617195,3.179584
8.700000,-0.439625,3.278500,438.744999,3.548322
8.716667,-0.187938,3.208750,437.695004,3.623978
8.733333,-0.407687,3.167063,438.185616,3.534062
8.750000,-0.412250,3.224688,437.438443,3.430759
8.766667,-0.385063,3.248000,437.594684,3.382697
8.783333,-0.366813,3.191375,437.687187,3.403856
8.800000,-0.539750,3.236875,436.981241,3.247172
8.816667,-0.450875,3.206687,436.319054,3.191656
8.833333,-0.447187,3.086250,436.444066,3.174581
8.850000,-0.272063,3.188000,436.528438,3.190378
8.866667,-0.236875,3.176875,436.369056,3.185625
8.883333,-0.287125,3.071563,436.280943,3.112912
8.900000,-0.180937,3.118312,436.161884,3.123337
8.916667,-0.238875,3.064437,436.806248,3.094934
8.933333,-0.367563,3.020563,436.853121,3.193653
8.950000,-0.260875,3.013188,436.512819,3.101909
8.966667,-0.233625,3.035312,435.653138,3.180112
8.983333,-0.177375,3.038938,435.146880,3.087487
9.000000,-0.108375,3.123875,433.698114,3.218525
